2f4m , A , 2 , 295 ,  5.360 ,  0.041 ,  20.920
2daw , A , 1 , 154 ,  13.147 ,  0.030 ,  18.624
1ty0 , A , 2 , 211 ,  5.614 ,  0.044 ,  19.024
1dx5 , I , 3 , 118 ,  8.543 ,  0.020 ,  22.031
1ura , A , 1 , 446 ,  7.103 ,  0.053 ,  23.504
1k4m , A , 1 , 213 ,  6.144 ,  0.050 ,  17.577
2a1k , A , 1 , 215 ,  3.453 ,  0.032 ,  20.074
1vkm , A , 1 , 286 ,  7.607 ,  0.058 ,  18.759
1lrv , A , 1 , 233 ,  2.433 ,  0.015 ,  27.863
2fiq , A , 2 , 403 ,  6.635 ,  0.045 ,  25.564
1ueb , A , 3 , 189 ,  5.103 ,  0.024 ,  23.155
2gau , A , 2 , 218 ,  5.861 ,  0.038 ,  19.287
1ic8 , A , 2 , 170 ,  4.414 ,  0.031 ,  19.419
3bz6 , A , 2 , 164 ,  9.364 ,  0.051 ,  16.273
1m6s , A , 2 , 342 ,  4.513 ,  0.046 ,  22.221
1uc8 , A , 3 , 254 ,  7.286 ,  0.041 ,  19.816
1oe8 , A , 2 , 204 ,  5.462 ,  0.045 ,  17.788
1me4 , A , 1 , 215 ,  7.673 ,  0.059 ,  16.204
1qmj , A , 1 , 132 ,  21.396 ,  0.059 ,  14.876
1kif , A , 2 , 339 ,  8.300 ,  0.048 ,  22.230
2pq7 , A , 1 , 180 ,  5.292 ,  0.049 ,  17.626
1qo2 , A , 1 , 238 ,  6.548 ,  0.057 ,  17.327
2gre , A , 2 , 307 ,  6.667 ,  0.044 ,  25.685
2hyj , A , 2 , 193 ,  5.474 ,  0.039 ,  18.750
1qam , A , 2 , 235 ,  3.100 ,  0.035 ,  20.716
2b5i , D , 2 , 122 ,  5.251 ,  0.034 ,  17.769
2bpa , 1 , 1 , 426 ,  2.870 ,  0.030 ,  28.357
1ef8 , A , 2 , 256 ,  10.954 ,  0.049 ,  18.711
1pz7 , A , 1 , 188 ,  17.812 ,  0.061 ,  15.636
1uw4 , B , 1 , 248 ,  5.134 ,  0.036 ,  25.829
1qbk , B , 1 , 856 ,  1.279 ,  0.020 ,  39.257
1di1 , A , 1 , 290 ,  4.679 ,  0.046 ,  20.246
1vma , A , 2 , 294 ,  6.110 ,  0.044 ,  20.397
2pp6 , A , 2 , 84 ,  8.681 ,  0.042 ,  14.531
2j7j , A , 3 , 85 ,  5.054 ,  0.021 ,  17.774
1bl0 , A , 2 , 116 ,  8.816 ,  0.043 ,  18.073
1xfk , A , 1 , 324 ,  10.880 ,  0.059 ,  19.470
1k0g , A , 1 , 420 ,  10.736 ,  0.053 ,  21.526
1h6p , A , 1 , 188 ,  8.192 ,  0.034 ,  18.935
1ng6 , A , 2 , 148 ,  4.719 ,  0.033 ,  17.940
1xqr , A , 1 , 259 ,  4.348 ,  0.032 ,  22.296
1ryp , I , 1 , 222 ,  0.561 ,  0.037 ,  26.138
1ubd , C , 4 , 114 ,  3.101 ,  0.016 ,  20.373
